M;Punto;C¢d.Prv.;Provincia;C¢d.Pais;Pa°s;C¢d.Ruta;Ruta;C¢d.Zona;Zona;C¢d.Cli.;Cliente;C¢d.Postal;C¢d.Pto.;Env.Serv.;C¢d.Contc.;Contacto;Ub.
FALSO;BRAGA (PT);;;;;;;;;;;;BRAGA;;;;
FALSO;BRAGANÄA (PT);;;;;;;;;;;;BRAG;;;;
FALSO;BRENNTAG ILE FRANCE;;;;;;;;;;;;ILE;;;;
FALSO;BRENNTAG QUIMICA, SA;;;;;;;;;;;;BRENN;;;;
FALSO;BRENNTAG QUIMICA,SA;;;;;;;;;;;;BRENT;;;;
FALSO;BURGOS;BU;BURGOS;;;;;E;;;;;BU;;;;
FALSO;CABANILLAS DEL CAMPO;;;;;;;;;;;;CABAN;;;;
FALSO;CACERES;CC;CµCERES;;;;;E;;;;;CC;;;;
FALSO;CACIA;;;;;;;;;;;;CACIA;;;;
FALSO;CADIZ;CA;CµDIZ;;;;;E;;;;;CA;;;;
FALSO;CALAHORRA;;;;;;;;;;;;CALAH;;;;
FALSO;CALATAYUD;;;;;;;;;;;;CALA;;;;
FALSO;CALDAS DA RAINHA (PT);;;;;;;;;;;;CALD;;;;
FALSO;CALDAS DE REIS;PO;PONTEVEDRA;;;;;;;;;;1;;;;
FALSO;CALDAS RAINHA/AVIS;;;;;;;;;;;;CALAV;;;;
FALSO;CALDAS RAINHA/PENICHE;;;;;;;;;;;;CALPE;;;;
FALSO;CALDAS-VIGO;;;;;;;;;;;;CALVI;;;;
FALSO;CAMBADOS;;;;;;;;;;;;CAMBA;;;;
FALSO;CAMU•AS;;;;;;;;;;;;CAMU•;;;;
FALSO;CANCIENES;;;;;;;;;;;;CANCI;;;;
FALSO;CANGAS;;;;;;;;;;;;CANGA;;;;
FALSO;CANOVELLES;;;;;;;;;;;;CANOV;;;;
FALSO;CANTABRIA;;;;;;;;;;;;CANTA;;;;
FALSO;CAPARROSO;;;;;;;;;;;;CAPAR;;;;
FALSO;CARBALLO;;;;;;;;;;;;CARBA;;;;
FALSO;CARREGADO;;;;;;;;;;;;CARRE;;;;
FALSO;CARREGADO/BENAVENTE;;;;;;;;;;;;CARBE;;;;
FALSO;CARTAGENA;;;;;;;;;;;;CARTA;;;;
FALSO;CARVALHOS;;;;;;;;;;;;CARVA;;;;
FALSO;CASARRUBIOS;;;;;;;;;;;;CASAR;;;;
FALSO;CASTANHEIRA RIBATEJO(PT);;;;;;;;;;;;CASTA;;;;
FALSO;CASTELLBISBAL;;;;;;;;;;;;BISBA;;;;
FALSO;CASTELLON;CS;CASTELL‡N;;;;;E;;;;;CS;;;;
FALSO;CASTELLON;;;;;;;;;;;;CASTE;;;;
FALSO;CASTELO BRANCO;;;;;;;;;;;;CAST;;;;
FALSO;CASTRILLON;;;;;;;;;;;;CAS;;;;
FALSO;CASTRO DAIRE(PT);;;;;;;;;;;;9722;;;;
FALSO;CASTRO URDIALES;;;;;;;;;;;;CASTR;;;;
FALSO;CATENVA, S.L.;;;;;;;;;;;;CATEN;;;;
FALSO;CELUL.ASTURIAS,S.A.;;;;;;;;;;;;CELUL;;;;
FALSO;CERANO(IT);;;;;;;;;;;;CERAN;;;;
FALSO;CERCEDA;;;;;;;;;;;;CERCE;;;;
FALSO;CERVERA;;;;;;;;;;;;CERVE;;;;
FALSO;CESURES;;;;;;;;;;;;CESUR;;;;
FALSO;CHALANDRAY;;;;;;;;;;;;CHALA;;;;
FALSO;CHAVES (PT);;;;;;;;;;;;CHAV;;;;
FALSO;CHIETI(IT);;;;;;;;;;;;CHIE;;;;
FALSO;CHIVA;;;;;;;;;;;;CHIVA;;;;
FALSO;CIAL.ANDALUZA CONTRACHAP.SL;;;;;;;;;;;;ANDAL;;;;
FALSO;CIERVANA;;;;;;;;;;;;CIERB;;;;
FALSO;CIPADE;;;;;;;;;;;;CIPAD;;;;
FALSO;CIRON, S.A.;;;;;;;;;;;;CIRON;;;;
FALSO;CIUDAD REAL;CR;CIUDAD REAL;;;;;E;;;;;CR;;;;
FALSO;CIUDAD REAL;;;;;;;;;;;;CIUDA;;;;
FALSO;CLARIANT, S.A.;;;;;;;;;;;;CLARI;;;;
FALSO;CLEOPATRE;;;;;;;;;;;;CLEOP;;;;
FALSO;COGERSA;;;;;;;;;;;;COGER;;;;
FALSO;COIMBRA;;;;;;;;;;;;COIMB;;;;
FALSO;COLAS ARTIACH, SL;;;;;;;;;;;;ARTIA;;;;
FALSO;COLLE INDUSTR.L'OUEST;;;;;;;;;;;;COLLE;;;;
FALSO;COLUMBIAN CARBON SPAIN,SL;;;;;;;;;;;;COLUM;;;;
FALSO;COMERC.FREPANSA,SL;;;;;;;;;;;;FREPA;;;;
FALSO;COMERC.PREPANSA,SL;;;;;;;;;;;;PREPA;;;;
FALSO;COMERCIAL EPELE, SL.;;;;;;;;;;;;EPELE;;;;
FALSO;COMERCIAL GODO, S.L.;;;;;;;;;;;;GODO;;;;
FALSO;COMO(IT);;;;;;;;;;;;COMO;;;;
FALSO;CONDEIXA (PT);;;;;;;;;;;;CONDE;;;;
FALSO;CONSERVAS;;;;;;;;;;;;CONSE;;;;
FALSO;CONSTANCIA(PT);;;;;;;;;;;;CONST;;;;
FALSO;CONTRACHAP.LUBADI,SL;;;;;;;;;;;;LUBAD;;;;
FALSO;CONTRACHAPADOS INDUSTRIALES, S.L.;;;;;;;;;;;;CONTR;;;;
FALSO;CONTRACHAPADOS MORATI, S.L.;;;;;;;;;;;;MORAT;;;;
FALSO;COR QUIMICA, S.A.;;;;;;;;;;;;COR;;;;
FALSO;CORDOBA;CO;C‡RDOBA;;;;;E;;;;;CO;;;;
FALSO;CORISTANCO;;;;;;;;;;;;CORIS;;;;
FALSO;CORTEGAÄA(PT);;;;;;;;;;;;CORTE;;;;
FALSO;CORUCHE (PT);;;;;;;;;;;;CORU;;;;
FALSO;CORU•A;C;LA CORU•A;;;;;E;;;;;C;;;;
FALSO;COSTA IBERICA-MADEIRAS,SA;;;;;;;;;;;;COSTA;;;;
FALSO;COVERIGHT SURFACES, S.A.;;;;;;;;;;;;COVER;;;;
FALSO;COVERIGHT,SL;;;;;;;;;;;;COVE;;;;
FALSO;COVILHA (PT);;;;;;;;;;;;COVI;;;;
FALSO;CREMONA (IT);;;;;;;;;;;;9723;;;;
FALSO;CROMOGENIA UNITS, S.A.;;;;;;;;;;;;CROMO;;;;
FALSO;CRYSTAL PHARMA,SAU;;;;;;;;;;;;CRYST;;;;
FALSO;CUENCA;CU;CUENCA;;;;;E;;;;;CU;;;;
FALSO;CULLEREDO;;;;;;;;;;;;CULLE;;;;
FALSO;CUNTIS;;;;;;;;;;;;CUNTI;;;;
FALSO;CURIA SPAIN, SAU;;;;;;;;;;;;CURIA;;;;
FALSO;CURTIS;;;;;;;;;;;;CURTI;;;;
FALSO;DARBO, SAS;;;;;;;;;;;;DARBO;;;;
FALSO;DECOTEC PRINTING,SA;;;;;;;;;;;;DECOT;;;;
FALSO;DEKITRA, S.A.;;;;;;;;;;;;DEKIT;;;;
FALSO;DISALCO, S.L.;;;;;;;;;;;;DISAL;;;;
FALSO;DISCEFA;;;;;;;;;;;;DISCE;;;;
FALSO;DISOLV.REUNIDAS,SA;;;;;;;;;;;;DISOL;;;;
FALSO;DISSOLTIN;;;;;;;;;;;;DISSO;;;;
FALSO;DODRO;;;;;;;;;;;;DODRO;;;;
FALSO;DROGAFIEIRA, SL;;;;;;;;;;;;9706;;;;
FALSO;DROGAS CONDE, S.A.;;;;;;;;;;;;DROG;;;;
FALSO;DROGAS VIGO, S.L.;;;;;;;;;;;;DROGA;;;;
FALSO;DUE•AS;;;;;;;;;;;;DUE•A;;;;
FALSO;DUPONT INTER.SA;;;;;;;;;;;;DUPON;;;;
FALSO;DURANGO;;;;;;;;;;;;DURAN;;;;
FALSO;DUSSELDORF;;;;;;;;;;;;DUSSE;;;;
FALSO;ECIJA;;;;;;;;;;;;ECIJA;;;;
FALSO;ECOCARBURANTES ESPA•OLES, SA;;;;;;;;;;;;ECOCA;;;;
FALSO;ECUALIPTO DE PONTEVEDRA;;;;;;;;;;;;EUCAL;;;;
FALSO;EGEA CABALLEROS;;;;;;;;;;;;EGEA;;;;
FALSO;EGGER PANNEAUX;;;;;;;;;;;;EGGER;;;;
FALSO;ELORRIO;;;;;;;;;;;;ELORR;;;;
FALSO;ENAGAS TRANSPORTE,SAU;;;;;;;;;;;;ENAGA;;;;
FALSO;ENCE;;;;;;;;;;;;ENCE;;;;
FALSO;ENTABAN;;;;;;;;;;;;ENTAB;;;;
FALSO;ENVASES URE•A,SA;;;;;;;;;;;;URE•A;;;;
FALSO;ERANDIO;;;;;;;;;;;;ERAND;;;;
FALSO;ERMESINDE(PT);;;;;;;;;;;;ERMES;;;;
FALSO;ESMORIZ;;;;;;;;;;;;ESMOR;;;;
FALSO;ESPINHO;;;;;;;;;;;;ESPIN;;;;
FALSO;ESTARREJA;;;;;;;;;;;;ESTAR;;;;
FALSO;ESTREMOZ (PT);;;;;;;;;;;;ESTRE;;;;
FALSO;ETS RIGHINI,SA;;;;;;;;;;;;ETS;;;;
FALSO;ETXEBARRI;;;;;;;;;;;;ETXEB;;;;
FALSO;EUROPAC;;;;;;;;;;;;EUROP;;;;
FALSO;EVORA (PT);;;;;;;;;;;;EVORA;;;;
FALSO;FARO ALBUFEIRA;;;;;;;;;;;;9717;;;;
FALSO;FAURECIA SYSTEMS;;;;;;;;;;;;FAURE;;;;
FALSO;FAUS INT.FLOORING,SL;;;;;;;;;;;;FAUSI;;;;
FALSO;FERRARA(IT);;;;;;;;;;;;FERR;;;;
FALSO;FERREIRA ALENTEJO;;;;;;;;;;;;9716;;;;
FALSO;FERREIRA DE ALENTEJO;;;;;;;;;;;;ALENT;;;;
FALSO;FERREIRA DO ZEZERE;;;;;;;;;;;;FERRE;;;;
FALSO;FERROL;C;LA CORU•A;;;;;E;;;;;FE;;;;
FALSO;FIAES;;;;;;;;;;;;FIAES;;;;
FALSO;FIGUEIRA FOZ;;;;;;;;;;;;FIGUE;;;;
FALSO;FINSA;;;;;;;;;;;;FINSA;;;;
FALSO;FINSA FRANCE;;;;;;;;;;;;FINFR;;;;
FALSO;FINSA FRANCE SAS;FR;FRANCIA;;;;;;;;;;FINSF;;;;
FALSO;FLORENCE(IT);;;;;;;;;;;;FLOR;;;;
FALSO;FONMARTY;;;;;;;;;;;;FONMA;;;;
FALSO;FORESA FRANCE SAS;;;;;;;;;;;;FORES;;;;
FALSO;FOS-ROC, S.A.;;;;;;;;;;;;FOS;;;;
FALSO;FOSROC EUCO, S.A.;;;;;;;;;;;;FOSRO;;;;
FALSO;FRADELOS (PORT.);;;;;;;;;;;;FRADE;;;;
FALSO;FRANCIA;FR;FRANCIA;;;;;F;;;;;FR;;;;
FALSO;FROSINONE(IT);;;;;;;;;;;;FROSI;;;;
FALSO;FUENLABRADA;;;;;;;;;;;;FUENL;;;;
FALSO;GAFANHA DE NAZARET;;;;;;;;;;;;GAFAN;;;;
FALSO;GAJANO;;;;;;;;;;;;GAJAN;;;;
FALSO;GALDACANO;;;;;;;;;;;;CANO;;;;
FALSO;GALDAKAO;;;;;;;;;;;;GALDA;;;;
FALSO;GARNICA PLYWOOD;24;LE‡N;;;;;;;;;;GARNI;;;;
FALSO;GARNICA PLYWOOD;LE;LEON;;;;;;;;;;GARNL;;;;
FALSO;GARNICA PLYWOOD VAL.D.J;;;;;;;;;;;;GARN;;;;
FALSO;GASOLEO FRIGOS;;;;;;;;;;;;FRIGO;;;;
FALSO;GAVA;;;;;;;;;;;;GAVA;;;;
FALSO;GAZANHA DE NAZARET (PT);;;;;;;;;;;;GAZAN;;;;
FALSO;GENERAL QUIMICA,SA;;;;;;;;;;;;GENER;;;;
FALSO;GENOUILLAC;;;;;;;;;;;;GENOU;;;;
FALSO;GENTINA, S.A.;;;;;;;;;;;;GENTI;;;;
FALSO;GERMAN RDGUEZ.IND.SA;GU;GUADALAJARA;;;;;;;;;;GERMA;;;;
FALSO;GERONA;GE;GERONA;;;;;E;;;;;GE;;;;
FALSO;GETAFE;;;;;;;;;;;;GETAF;;;;
FALSO;GIJON;;;;;;;;;;;;GIJ;;;;
FALSO;GIJON;;;;;;;;;;;;GIJON;;;;
FALSO;GIJON/ANLEO;;;;;;;;;;;;GIJAN;;;;
FALSO;GIOVANNI BOZZETTO, S.A.;;;;;;;;;;;;GIOVA;;;;
FALSO;GIVORS;;;;;;;;;;;;GIVOR;;;;
FALSO;GKN INDUGASA, S.A.;;;;;;;;;;;;GKN;;;;
FALSO;GODELLETA;;;;;;;;;;;;GODEL;;;;
FALSO;GRANADA;GR;GRANADA;;;;;E;;;;;GR;;;;
FALSO;GRANOLLERS;;;;;;;;;;;;GRANO;;;;
FALSO;GREEN FUEL EXTREMADURA,SA;;;;;;;;;;;;GREEN;;;;
FALSO;GRUPO ZENTIA,SL;;;;;;;;;;;;ZENTI;;;;
FALSO;GUADALAJARA;GU;GUADALAJARA;;;;;E;;;;;GU;;;;
FALSO;GUADALAJARA;;;;;;;;;;;;GUADA;;;;
FALSO;GUALBA;;;;;;;;;;;;GUALB;;;;
FALSO;GUARDA (PT);;;;;;;;;;;;GUAR;;;;
FALSO;GUARDA (PT);;;;;;;;;;;;GUARD;;;;
FALSO;GUARNIZO;;;;;;;;;;;;GUARN;;;;
FALSO;GUEROLA,SA;;;;;;;;;;;;GUERO;;;;
FALSO;GUIMARAES;;;;;;;;;;;;GUIM;;;;
FALSO;GUIPUZCOA;;;;;;;;;;;;GUIPU;;;;
FALSO;GUISSONA;;;;;;;;;;;;GUISS;;;;
FALSO;HA ILARDUYA,SL;;;;;;;;;;;;ILARD;;;;
FALSO;HARINAS ALMELA,SC;;;;;;;;;;;;HARIN;;;;
FALSO;HELDER ROB.MOREIRA;;;;;;;;;;;;HELDE;;;;
FALSO;HERNANI;;;;;;;;;;;;HERN;;;;
FALSO;HERNANI,ARRIONDAS,SALAS;;;;;;;;;;;;HERNA;;;;
FALSO;HEXION SPECIALITY;VI;VITORIA;;;;;;;;;;HEX;;;;
FALSO;HEXION SPECIALITY;;;;;;;;;;;;HEXIH;;;;
FALSO;HEXION SPECIALITY, S.A.;;;;;;;;;;;;HEXIO;;;;
FALSO;HIJOS GASPAR ROSA, SL;;;;;;;;;;;;HIJOS;;;;
FALSO;HOVIONE, S.A.;;;;;;;;;;;;HOVIO;;;;
FALSO;HUELVA;H;HUELVA;;;;;E;;;;;H;;;;
FALSO;HUESCA;HU;HUESCA;;;;;E;;;;;HU;;;;
FALSO;HUTTENES A.ILARDUYA,SL;;;;;;;;;;;;HUTTE;;;;
FALSO;IBERDROLA, S.A.;;;;;;;;;;;;IBERD;;;;
FALSO;IBERIA ASHLAND, S.A.;;;;;;;;;;;;IBERI;;;;
FALSO;IBL SPA;;;;;;;;;;;;IBL;;;;
FALSO;IGORRE;;;;;;;;;;;;IGORR;;;;
FALSO;IGUALADA;;;;;;;;;;;;IGUAL;;;;
FALSO;ILLA DE AROUSA;;;;;;;;;;;;ILLA;;;;
FALSO;INAMA;;;;;;;;;;;;INAMA;;;;
FALSO;IND.AUXILIARES FAUS, SLU;V;VALENCIA;;;;;;;;;;FAUS;;;;
FALSO;IND.ENV.CONTRACHAP.SA;;;;;;;;;;;;ENVAS;;;;
FALSO;IND.ENVAS.CONTRACHAP.SA;;;;;;;;;;;;GERON;;;;
FALSO;IND.PEREZ MONTOSA,SA;;;;;;;;;;;;MONTO;;;;
FALSO;IND.QUIM.CUADRADO,SA;;;;;;;;;;;;INDCU;;;;
FALSO;IND.QUIM.RIO BLANCO,SL;;;;;;;;;;;;RIO B;;;;
FALSO;IND.TABLERO DE VALGA,SA;;;;;;;;;;;;INVAL;;;;
FALSO;IND.TABLERO VALGA, SA;;;;;;;;;;;;INDVA;;;;
FALSO;INDUSTR.PLAST.QUIMICO,SA;;;;;;;;;;;;INDUS;;;;
FALSO;INDUSTRIAL FERSEB,SL;;;;;;;;;;;;FERSE;;;;
FALSO;INDUSTRIAS JOMAR;;;;;;;;;;;;JOMAR;;;;
FALSO;INDUSTRIAS LOSAN;;;;;;;;;;;;LOSAN;;;;
FALSO;INDUSTRIAS MONZON, SL;;;;;;;;;;;;MONZO;;;;
FALSO;INDUSTRIAS PROA;;;;;;;;;;;;PROA;;;;
FALSO;INFOYMA, S.L.;;;;;;;;;;;;INFOY;;;;
FALSO;INIC.BIONERGET.SL;;;;;;;;;;;;INICI;;;;
FALSO;INNOSPEC SPAIN, S.L.;;;;;;;;;;;;INNOS;;;;
FALSO;INNSBRUCK;;;;;;;;;;;;INNSB;;;;
FALSO;INSOCO, S.L.;;;;;;;;;;;;INSOC;;;;
FALSO;INTASA;;;;;;;;;;;;INTAS;;;;
FALSO;INTERBOIS;;;;;;;;;;;;BOIS;;;;
FALSO;INTERBON;;;;;;;;;;;;INTER;;;;
FALSO;INTERPANEL, S.A.;;;;;;;;;;;;PANEL;;;;
FALSO;IP DECOR SPAIN, SAU;;;;;;;;;;;;IP;;;;
FALSO;IREGUA CHAPAS Y TABL.SA;;;;;;;;;;;;IREGU;;;;
FALSO;IRUN;;;;;;;;;;;;IRUN;;;;
FALSO;IRURENA;;;;;;;;;;;;IRURE;;;;
FALSO;ISOROY;;;;;;;;;;;;ISORO;;;;
FALSO;ITALIA;;;;;;;ITA;;;;;IT;;;;
FALSO;IURRETA;;;;;;;;;;;;IURRE;;;;
FALSO;IZURTZA;;;;;;;;;;;;IZURT;;;;
FALSO;J.GARCIA CARRION;;;;;;;;;;;;CARRI;;;;
FALSO;JABER, S.A.;;;;;;;;;;;;JABER;;;;
FALSO;JAEN;J;JAEN;;;;;E;;;;;J;;;;
FALSO;JARRIE (FR);;;;;;;;;;;;JARRI;;;;
FALSO;JEAN THEBAULT;;;;;;;;;;;;THEBA;;;;
FALSO;JOHN DEERE IBERICA,SA;;;;;;;;;;;;9709;;;;
FALSO;JOUBERT LES ELIOTS;;;;;;;;;;;;JOUBE;;;;
FALSO;JP&SB CONVERTING;;;;;;;;;;;;JP;;;;
FALSO;KALLO;;;;;;;;;;;;KALLO;;;;
FALSO;KELSIA;;;;;;;;;;;;KELSI;;;;
FALSO;KRONOSPAN, S.L.;;;;;;;;;;;;KRONO;;;;
FALSO;LA CANONJA;;;;;;;;;;;;CANON;;;;
FALSO;LA CA•IZA;;;;;;;;;;;;CA•IZ;;;;
FALSO;LA RIOJA;;;;;;;;;;;;RIOJA;;;;
FALSO;LA TOJA;;;;;;;;;;;;TOJA;;;;
FALSO;LA ZAIDA;;;;;;;;;;;;ZAIDA;;;;
FALSO;LACROIX EMBALLAGES;;;;;;;;;;;;LACRO;;;;
FALSO;LAINATE(IT);;;;;;;;;;;;LAINA;;;;
FALSO;LALIN;;;;;;;;;;;;LALIN;;;;
FALSO;LAMANOR, S.L.;;;;;;;;;;;;LAMAN;;;;
FALSO;LAMEGO (PT);;;;;;;;;;;;LAME;;;;
FALSO;LANA;;;;;;;;;;;;LANA;;;;
FALSO;LANDIN (PT);;;;;;;;;;;;LANDI;;;;
FALSO;LANGREO;;;;;;;;;;;;LANGR;;;;
FALSO;LANTARON;;;;;;;;;;;;LANTA;;;;
FALSO;LANTEMIL (PT);;;;;;;;;;;;LANTE;;;;
FALSO;LAVERA;;;;;;;;;;;;LAVER;;;;
FALSO;LAVRADIO (PT);;;;;;;;;;;;LAVRA;;;;
FALSO;LEGUTIANO;;;;;;;;;;;;LEGUT;;;;
FALSO;LEIOA;;;;;;;;;;;;LEIOA;;;;
FALSO;LEIRIA (PT);;;;;;;;;;;;LEIRI;;;;
FALSO;LEKUMBERRI;;;;;;;;;;;;LEKUM;;;;
FALSO;LEON;LE;LEON;;;;;E;;;;;LE;;;;
FALSO;LEON/VALLADOLID;;;;;;;;;;;;LEVAL;;;;
FALSO;LERIDA;L;LêRIDA;;;;;E;;;;;L;;;;
FALSO;LESAKA;;;;;;;;;;;;LESAK;;;;
FALSO;LEZO;;;;;;;;;;;;LEZO;;;;
FALSO;LICEMA,SA;;;;;;;;;;;;LICEM;;;;
FALSO;LINARES;;;;;;;;;;;;LINAR;;;;
FALSO;LINXE;;;;;;;;;;;;LINXE;;;;
FALSO;LISBOA;;;;;;;;;;;;LISBO;;;;
FALSO;LIVORNO(IT);;;;;;;;;;;;LIVO;;;;
FALSO;LLANERA;;;;;;;;;;;;LLANE;;;;
FALSO;LLEIDA;;;;;;;;;;;;LLEID;;;;
FALSO;LLIRIA;;;;;;;;;;;;LLIRI;;;;
FALSO;LLODIO;;;;;;;;;;;;LLODI;;;;
FALSO;LOGRO•O;LO;LOGRO•O;;;;;E;;;;;LO;;;;
FALSO;LORCOL;;;;;;;;;;;;LORCO;;;;
FALSO;LOULAY;;;;;;;;;;;;LOULA;;;;
FALSO;LOURES;;;;;;;;;;;;LOURE;;;;
FALSO;LOUSA (PT);;;;;;;;;;;;LOUS;;;;
FALSO;LOUSADA;;;;;;;;;;;;LOUSA;;;;
FALSO;LUGO;LU;LUGO;;;;;E;;;;;LU;;;;
FALSO;LUGONES;;;;;;;;;;;;LUGON;;;;
FALSO;LUSO FINSA;;;;;;;;;;;;LUSO;;;;
FALSO;LUTXANA;;;;;;;;;;;;LUTXA;;;;
FALSO;LYON;;;;;;;F;;;;;LYON;;;;
FALSO;MACEIRA-LIZ;;;;;;;;;;;;MACEI;;;;
FALSO;MAD.Y TABL.DEL OJA, SA;;;;;;;;;;;;OJA;;;;
FALSO;MADERAS BENIGANIM, SAL;;;;;;;;;;;;BENIG;;;;
FALSO;MADERAS DE LLODIO,SA;;;;;;;;;;;;LLOD;;;;
FALSO;MADERAS IGLESIAS, S.A.;;;;;;;;;;;;MADER;;;;
FALSO;MADRID;M;MADRID;;;;;E;;;;;M;;;;
FALSO;MADRID-ALMARAZ;;;;;;;;;;;;ALMAR;;;;
FALSO;MAGNE (FR);;;;;;;;;;;;MAGNE;;;;
FALSO;MAIA;;;;;;;;;;;;MAIA;;;;
FALSO;MAJADAHONDA;;;;;;;;;;;;MAJA;;;;
FALSO;MALAGA;MA;MALAGA;;;;;E;;;;;MA;;;;
FALSO;MALIA•O;;;;;;;;;;;;MALIA;;;;
FALSO;MALVAUX INDUSTRIES;;;;;;;;;;;;MALVA;;;;
FALSO;MALVEIRA;;;;;;;;;;;;MALVE;;;;
FALSO;MANGUALDE (PT);;;;;;;;;;;;9730;;;;
FALSO;MANGUALDE(PT);;;;;;;;;;;;MANGU;;;;
FALSO;MANLLEU;;;;;;;;;;;;MANLL;;;;
FALSO;MANRESA;;;;;;;;;;;;MANRE;;;;
FALSO;MANTUA(IT);;;;;;;;;;;;MANT;;;;
FALSO;MARCILLA;;;;;;;;;;;;MARCI;;;;
FALSO;MARIN;;;;;;;;;;;;MARIN;;;;
FALSO;MARINHA GRANDE;;;;;;;;;;;;MARI;;;;
FALSO;MARRUECOS;;;;;;;;;;;;MARRU;;;;
FALSO;MARSELLA;;;;;;;;;;;;MARSE;;;;
FALSO;MARTORELL;;;;;;;;;;;;MARTO;;;;
FALSO;MASDENVERGE;;;;;;;;;;;;MASDE;;;;
FALSO;MATARO;;;;;;;;;;;;MATAR;;;;
FALSO;MATOSINHOS (PT);;;;;;;;;;;;MATOS;;;;
FALSO;MATRIC. PO 9704 BJ;;;;;;;;;;;;9704;;;;
FALSO;MATRIC. PO1438BB;;;;;;;;;;;;1438;;;;
FALSO;MATRIC. PO4034AY;;;;;;;;;;;;MATR;;;;
FALSO;MATRIC. PO4034AY;;;;;;;;;;;;4034;;;;
FALSO;MATRIC. PO4150AC;;;;;;;;;;;;4150;;;;
FALSO;MATRIC. PO5054AY;;;;;;;;;;;;5054;;;;
FALSO;MATRIC. PO5856AN;;;;;;;;;;;;5856;;;;
FALSO;MATRIC.PO4157BF;;;;;;;;;;;;4157;;;;
FALSO;MEDILAND SAS;;;;;;;;;;;;MEDIL;;;;
FALSO;MEDINA DEL CAMPO;;;;;;;;;;;;MEDIN;;;;
FALSO;MEIS;;;;;;;;;;;;MEIS;;;;
FALSO;MEJORADA;;;;;;;;;;;;MEJOR;;;;
FALSO;MELIDE;;;;;;;;;;;;MELID;;;;
FALSO;MEM MARTINS (PT);;;;;;;;;;;;MEMMA;;;;
FALSO;MENDARO;;;;;;;;;;;;MENDA;;;;
FALSO;MENDAVIA;;;;;;;;;;;;MEND;;;;
FALSO;MENGUIBAR;;;;;;;;;;;;MENGU;;;;
FALSO;MERIDA;;;;;;;;;;;;MERID;;;;
FALSO;MIERES;;;;;;;;;;;;MIERE;;;;
FALSO;MINDELO;;;;;;;;;;;;MIND;;;;
FALSO;MIRANDA DE EBRO;;;;;;;;;;;;MIR;;;;
FALSO;MIRANDELA (PT);;;;;;;;;;;;MIRAN;;;;
FALSO;MODENA(IT);;;;;;;;;;;;MODE;;;;
FALSO;MODIVAS;;;;;;;;;;;;MODIV;;;;
FALSO;MOGADOURO;;;;;;;;;;;;MOGAD;;;;
FALSO;MOLLERUSA;;;;;;;;;;;;MOLLE;;;;
FALSO;MOMENTIVE SPECIALITY;;;;;;;;;;;;MOMEN;;;;
FALSO;MONFORTE LEMOS;;;;;;;;;;;;MOFOR;;;;
FALSO;MONSARAZ (PT);;;;;;;;;;;;MONSA;;;;
FALSO;MONTESALGUEIRO;;;;;;;;;;;;MONTE;;;;
FALSO;MONZON (HUESCA);;;;;;;;;;;;9727;;;;
FALSO;MORA (PORTUGAL);;;;;;;;;;;;MORA;;;;
FALSO;MORA•A;;;;;;;;;;;;MORA•;;;;
FALSO;MORCENX;;;;;;;;;;;;MORCE;;;;
FALSO;MOS;;;;;;;;;;;;MOS;;;;
FALSO;MOSTOLES;;;;;;;;;;;;MOSTO;;;;
FALSO;MUGARDOS;;;;;;;;;;;;MUGAR;;;;
FALSO;MUGICA;;;;;;;;;;;;MUGIC;;;;
FALSO;MURCIA;MU;MURCIA;;;;;E;;;;;MU;;;;
FALSO;MUSKIZ;;;;;;;;;;;;MUSKI;;;;
FALSO;MUXIA;;;;;;;;;;;;MUXIA;;;;
FALSO;NAJERA;;;;;;;;;;;;NAJER;;;;
FALSO;NALCO ESPA•OLA,SLU;;;;;;;;;;;;NALCO;;;;
FALSO;NARON;;;;;;;;;;;;NARON;;;;
FALSO;NAVARRA;;;;;;;;;;;;NAVAR;;;;
FALSO;NAVIA;;;;;;;;;;;;NAVIA;;;;
FALSO;NAVIA-SEVARES;;;;;;;;;;;;NAVSE;;;;
FALSO;NEFAB PONTEV. SL;;;;;;;;;;;;NEFAB;;;;
FALSO;NEGREIRA;;;;;;;;;;;;NEGRE;;;;
FALSO;NELAS;;;;;;;;;;;;NE;;;;
FALSO;NELAS;;;;;;;;;;;;NELAS;;;;
FALSO;NEW QUIMICA;;;;;;;;;;;;NEW;;;;
FALSO;NOBLEJAS;;;;;;;;;;;;NOBLE;;;;
FALSO;NOIA;;;;;;;;;;;;NOIA;;;;
FALSO;NOPCO PAPER;;;;;;;;;;;;NOPCO;;;;
FALSO;NOVARA(IT);;;;;;;;;;;;NOVA;;;;
FALSO;O GROVE;;;;;;;;;;;;GROVE;;;;
FALSO;O PORTO;;;;;;;P;;;;;OPORT;;;;
FALSO;OCA•A;TO;TOLEDO;;;;;;;;;;OCA•A;;;;
FALSO;OLHAO (PT);;;;;;;;;;;;9719;;;;
FALSO;OLIVEIRA AZEMEIS;;;;;;;;;;;;OLIVE;;;;
FALSO;OLIVEIRA FRADES(PT);;;;;;;;;;;;FRAD;;;;
FALSO;OLIVEIRA HOSPITAL;;;;;;;;;;;;OLIV;;;;
FALSO;OLLONIEGO;;;;;;;;;;;;OLLON;;;;
FALSO;OLMEDO;;;;;;;;;;;;OLMED;;;;
FALSO;OLVEGA;;;;;;;;;;;;OLVEG;;;;
