M;Punto;C¢d.Prv.;Provincia;C¢d.Pais;Pa°s;C¢d.Ruta;Ruta;C¢d.Zona;Zona;C¢d.Cli.;Cliente;C¢d.Postal;C¢d.Pto.;Env.Serv.;C¢d.Contc.;Contacto;Ub.
FALSO;SILLA;;;;;;;;;;;;SILLA;;;;
FALSO;SILLEDA;;;;;;;;;;;;SILLE;;;;
FALSO;SINDE (PT);;;;;;;;;;;;SINDE;;;;
FALSO;SINES;;;;;;;;;;;;SINES;;;;
FALSO;SM FRANCE;;;;;;;;;;;;SM FR;;;;
FALSO;SNIACE, SA;;;;;;;;;;;;SNIAC;;;;
FALSO;SOBRALINHO(PT);;;;;;;;;;;;SOBRA;;;;
FALSO;SOLOGAS (AS SOMOZAS);;;;;;;;;;;;9725;;;;
FALSO;SOLSONA;;;;;;;;;;;;SOLSO;;;;
FALSO;SONAE ARAUCO, SL;;;;;;;;;;;;SONAE;;;;
FALSO;SONDIKA;;;;;;;;;;;;SONDI;;;;
FALSO;SORIA;SO;SORIA;;;;;E;;;;;SO;;;;
FALSO;SOUILLAC(FR);;;;;;;;;;;;SOUIL;;;;
FALSO;SOUSELAS (PT);;;;;;;;;;;;SOUSE;;;;
FALSO;ST.PAUL (FR);;;;;;;;;;;;PAUL;;;;
FALSO;STA.IRIA AZOIA(PT);;;;;;;;;;;;IRIA;;;;
FALSO;SUM.IND.MARTI,SA;;;;;;;;;;;;MARTI;;;;
FALSO;SUMITOMO BAKELITE,SLU;;;;;;;;;;;;SUMIT;;;;
FALSO;T.HISPANOS, SLU.;;;;;;;;;;;;HISPA;;;;
FALSO;T.LEVANTE-MUGARTAL;;;;;;;;;;;;LEV;;;;
FALSO;T.VEDRAS;;;;;;;;;;;;T.VED;;;;
FALSO;TAB.GARFER/UTISA;;;;;;;;;;;;9707;;;;
FALSO;TABAZA;;;;;;;;;;;;TABAZ;;;;
FALSO;TABL.FIBRAS IBERICOS,SL;;;;;;;;;;;;TAFIB;;;;
FALSO;TABLEROS GARFER, S.A.;;;;;;;;;;;;GARFE;;;;
FALSO;TABLEROS LOSAN, S.A.;;;;;;;;;;;;TALOS;;;;
FALSO;TABLESTUY, S.L.;;;;;;;;;;;;TABLE;;;;
FALSO;TABOADA (LU);;;;;;;;;;;;TABOA;;;;
FALSO;TABUA (PT);;;;;;;;;;;;TABUA;;;;
FALSO;TACON DECOR, SL;;;;;;;;;;;;TACON;;;;
FALSO;TAFALLA;;;;;;;;;;;;TAFAL;;;;
FALSO;TAGUIVE, S.L.;;;;;;;;;;;;TAGUI;;;;
FALSO;TARANCON;;;;;;;;;;;;TARAN;;;;
FALSO;TARNOS (FR.);;;;;;;;;;;;TARNO;;;;
FALSO;TARRAGONA;T;TARRAGONA;;;;;E;;;;;T;;;;
FALSO;TARRASA;;;;;;;;;;;;TARRA;;;;
FALSO;TARTAS;;;;;;;;;;;;TART;;;;
FALSO;TAVIRA (PT);;;;;;;;;;;;9720;;;;
FALSO;TEIXEIRO;;;;;;;;;;;;TEIXE;;;;
FALSO;TEPSA;;;;;;;;;;;;TEPSA;;;;
FALSO;TERMOLAN, S.A.;;;PT;PORTUGAL;;;;;;;;TERMO;;;;
FALSO;TERMOLAN,SA(VILAR FORMOSO;;;;;;;;;;;;TERM;;;;
FALSO;TERUEL;TE;TERUEL;;;;;E;;;;;TE;;;;
FALSO;TOCHA;;;;;;;;;;;;TOCHA;;;;
FALSO;TOLEDO;TO;TOLEDO;;;;;E;;;;;TO;;;;
FALSO;TOLOSA;;;;;;;;;;;;TOLOS;;;;
FALSO;TOMAR (PT);;;;;;;;;;;;TOMAR;;;;
FALSO;TORDERA;;;;;;;;;;;;9731;;;;
FALSO;TORDES.ZARAGOZA,BARCEL.;;;;;;;;;;;;1004;;;;
FALSO;TORDESILLAS;;;;;;;;;;;;TORD;;;;
FALSO;TORELLO;;;;;;;;;;;;TOREL;;;;
FALSO;TORENO, S.L.;;;;;;;;;;;;TOREN;;;;
FALSO;TORO;;;;;;;;;;;;TORO;;;;
FALSO;TORRELAVEGA;;;;;;;;;;;;TOR;;;;
FALSO;TORRES NOVAS;;;;;;;;;;;;TORRE;;;;
FALSO;TORTOSA;;;;;;;;;;;;TORTO;;;;
FALSO;TRADEMA VALLADOLID;;;;;;;;;;;;TRADE;;;;
FALSO;TRANS.MAD.FARO,SL;;;;;;;;;;;;FARO;;;;
FALSO;TRANSF.MAD.FARO,SL;;;;;;;;;;;;9705;;;;
FALSO;TREVISO(IT);;;;;;;;;;;;TREV;;;;
FALSO;TRILLO;;;;;;;;;;;;TRILL;;;;
FALSO;TROFA (PT);;;;;;;;;;;;TROFA;;;;
FALSO;TUDELA;;;;;;;;;;;;TUDEL;;;;
FALSO;TUI;;;;;;;;;;;;TUI;;;;
FALSO;UNICOL, SRL;;;;;;;;;;;;UNICO;;;;
FALSO;UNION FENOSA, S.A.;;;;;;;;;;;;FENOS;;;;
FALSO;UNION FRANCAMAR, SL;;;;;;;;;;;;FRANC;;;;
FALSO;URE•A/J.MIGUEL;;;;;;;;;;;;UREMI;;;;
FALSO;URNIETA;;;;;;;;;;;;URNIE;;;;
FALSO;URSA IBERICA, S.A.;;;;;;;;;;;;URSA;;;;
